INVERTED INDEX FOR 500 DOCUMENTS
====================================================================================================
Format: word	document_count	document_hashes
====================================================================================================

0	26	171a8a3a7ddbb1032911e125b925f6de,25df369ee0b8c502cbc8df9bea888cd0,310d73b8d1b4933a55c825448c14b74c,32431d8853c43652d2a0ffa39d66dffb,339b663c1c7f56a85cc92a40a227cf0f,3473d3e8aacec289efa0e8d2732fc1e4,47ea71d9976451496b3fd62183f8c9b0,4a45551302a8bc5a1029c4842c94b2e4,4b48884ed2239986effdc9f7fb7fc1c3,5b3d191f47621ff82a870019886bcaea,69318110e2ae6793ccbaa86578c9d61a,82146df87c509ddaa3488179205d642b,89d8e8c822467aa60b1578776e861ffa,8bd283c5ac392610d3bf811617be53b2,a121319582f50d66d4048868a97c202a,a83ae03131ad1278e269350096ab1a98,ac24f669de9b77887d9fe85415fb85c3,add05c4df5d2057c6d61b92e96df22ec,cca25aece2c08945274919fa6c14b941,d18146341ed7a99e6b81ee36969d38e4,dbbe64b4d38e13ec10d4942e204745c4,dd43b1d7e17786f64c83c681616738d3,ec5897469117373db12a4df05490373d,edf936c8d947edce4fa14c3e599082f6,ef0be29f98f0c3c29a567f8d1525b002,f8d5b9d5f1efef4cadd56f1bcd132b75
0-29	1	f893f24e42748a404a92a321cd1e3cff
0-credit	1	201f019cb27a697abe658fdae800179a
00	22	0e2c6acbe671f2736a3fa67d3db67aa0,2b5f9d234790d3ee36d95ee0b96f2c99,3473d3e8aacec289efa0e8d2732fc1e4,47ea71d9976451496b3fd62183f8c9b0,5b3d191f47621ff82a870019886bcaea,5b3dc312b94c488a56040309e01c96b3,69318110e2ae6793ccbaa86578c9d61a,6b24dbf822b58ae9664869aac8161312,6d11d9cb251024ade228502c7c52af10,6f08d5ebbbd4b0bad7ab1cb1443a6e6e,7e37078417f6f6d88774ccdbd74f7a73,82146df87c509ddaa3488179205d642b,89eb4e58981b4a458992d63631d71a69,9a07574941ac6d8fbda44ec7ea52b0b9,9ebf27b6e5995049b542fe4a5c3e8a31,ac24f669de9b77887d9fe85415fb85c3,c93e08681d4df708cd14f44b9265d04e,cca25aece2c08945274919fa6c14b941,d0a9b29396a52afb864ba2e120f665dc,db4a98f28ddb72fdb035a739d534afc4,edf936c8d947edce4fa14c3e599082f6,f8d5b9d5f1efef4cadd56f1bcd132b75
000	43	0048e24833835dc2b606f82ee090dcbd,0574c6441a54955bd9347ee8d08b1c4d,0c2b505497a89a98319b4f770035accd,1034032e5de2a4fe79702a5e35ae573a,1201dfbb4678715df63998d245f032d3,20e6bf372c3462d6267a5b02d727a1ff,2c8822e9739571650178e3a1f7bead26,2dd0644f7d960c1130a2f842a3ddf1d5,2e34664843decfdd46b4b32c98c874ca,30eac631e38c10727a55dae1a85b6b55,37f5016bab7a5e9951363d67201ca1c1,394fde8ce4ab28d2c4aa157f735343eb,3f83fa0f62605134fd333d87f65ca980,407dad60c2b2c48f1148061097785662,4188f2130be998c0b93317959d45e87a,45d0b01a9ec0986878a65110a3674e7a,512a9d8ae499874a9637b36f930bcfdd,5b3dc312b94c488a56040309e01c96b3,5f93ab0387b5d2bf7b7375788c8e2eae,6d85a4788185f24554bfb9c27710ce0e,788d64fc0364f4a8dfa407299b3f2c83,7f9033e0ab82a36dce26dcb20801058c,83cbc3cff7fda63d40f17159f78e304e,89d8e8c822467aa60b1578776e861ffa,95edd602f1c5a10ffa16ced364723959,975d068141281f97c439c4e736825e81,9e5a32e0e2772d32dbdea42c5b2620c1,a03ec7966ef9771b99aa86f868755361,a04e372241d3f1f54a49c513b5709747,a9c37e7098152f03c3ad2f6300200cae,ae2703abbfb990fb34c5f1e3800a5ba5,b369b8dca8be11ea1103201057c41fd0,b5b87d8132a4776e7a89c633ff951c68,c5221b844e57a037b76df93892ba38fe,c91a2068f30d150677210d2924499be6,d18146341ed7a99e6b81ee36969d38e4,e20ea41bf5f22957cdde4236172b8554,e94e61aa85e94dedaa327cde9e08d978,f27c31532c964d59f64cc56cd1562320,f2a7dbd010947f1c8d0f3cd91047db05,f66b3b60225f209090b6bbc6570929f9,f8b3ca1bfba1075451ba750fdda43217,f8d5b9d5f1efef4cadd56f1bcd132b75
000-square-foot	1	b369b8dca8be11ea1103201057c41fd0
001	2	a121319582f50d66d4048868a97c202a,ef0be29f98f0c3c29a567f8d1525b002
003728	1	f8d5b9d5f1efef4cadd56f1bcd132b75
